Position,Level,Salary
157,16.46,61.52
158,16.56,50.63
159,16.66,37.55
160,16.76,52.57
161,16.86,39.76
162,16.95,54.09
163,17.05,57.31
164,17.15,41.71
165,17.25,56.22
166,17.35,52.06
167,17.45,55.57
168,17.55,64.41
169,17.65,47.52
170,17.75,43.69
171,17.85,42.84
172,17.95,43.67
173,18.05,49.82
174,18.14,53.41
175,18.24,53.14
176,18.34,57.78
177,18.44,51.51
178,18.54,63.27
179,18.64,49.77
180,18.74,73.89
181,18.84,57.37
182,18.94,45.75
183,19.04,44.28
184,19.14,56.95
185,19.23,51.55
186,19.33,59.29
187,19.43,57.6
188,19.53,53.47
189,19.63,47.52
190,19.73,42.42
191,19.83,51.21
192,19.93,61.88
193,20.03,56.98
194,20.13,45.54
195,20.23,57.14
196,20.32,59.07
197,20.42,49.16
198,20.52,57.71
199,20.62,57.18
200,20.72,47.82
201,20.82,60.06
202,20.92,61.93
203,21.02,66.35
204,21.12,66.36
205,21.22,47.15
206,21.32,50.91
207,21.41,62.78
208,21.51,63.01
209,21.61,63.26
210,21.71,90.21
211,21.81,64.2
212,21.91,68.96
213,22.01,67.75
214,22.11,65.57
215,22.21,58.08
216,22.31,66.92
217,22.41,54.91
218,22.5,59.44
219,22.6,57.69
220,22.7,62.47
221,22.8,80.58
222,22.9,47.37
223,23.0,68.04
224,23.1,49.89
225,23.2,59.26
226,23.3,72.0
227,23.4,64.04
228,23.5,55.15
229,23.59,58.3
230,23.69,69.7
231,23.79,58.66
232,23.89,66.48
233,23.99,65.36
234,24.09,60.03
235,24.19,82.64
236,24.29,70.8
237,24.39,49.78
238,24.49,67.72
239,24.59,61.18
240,24.68,73.54
241,24.78,60.62
242,24.88,66.29
243,24.98,71.5
244,25.08,74.63
245,25.18,58.35
246,25.28,65.52
247,25.38,64.64
248,25.48,63.46
249,25.58,83.06
250,25.68,72.42
251,25.77,59.34
252,25.87,77.02
253,25.97,86.91
254,26.07,78.44
255,26.17,58.27
256,26.27,66.8
257,26.37,81.06
258,26.47,65.51
259,26.57,74.97
260,26.67,77.87
261,26.77,64.5
262,26.86,71.69
263,26.96,46.49
264,27.06,64.47
265,27.16,70.9
266,27.26,63.19
267,27.36,86.48
268,27.46,62.23
269,27.56,70.4
270,27.66,75.22
271,27.76,85.96
272,27.86,63.19
273,27.95,84.24
274,28.05,75.26
275,28.15,67.58
276,28.25,79.39
277,28.35,77.53
278,28.45,71.39
279,28.55,77.01
280,28.65,73.62
281,28.75,77.87
282,28.85,82.51
283,28.95,90.16
284,29.05,67.82
285,29.14,95.04
286,29.24,62.62
287,29.34,77.28
288,29.44,83.45
289,29.54,81.25
290,29.64,74.28
291,29.74,77.85
292,29.84,75.83
293,29.94,75.32
294,30.04,87.09
295,30.14,83.41
296,30.23,75.27
297,30.33,88.27
298,30.43,83.79
299,30.53,88.1
300,30.63,86.89
301,30.73,75.48
302,30.83,77.89
303,30.93,88.62
304,31.03,87.78
305,31.13,83.0
306,31.23,84.37
307,31.32,93.91
308,31.42,79.22
309,31.52,88.6
310,31.62,82.87
311,31.72,83.01
312,31.82,93.81
313,31.92,91.88
314,32.02,92.06
315,32.12,96.26
316,32.22,86.25
317,32.32,91.81
318,32.41,84.14
319,32.51,89.48
320,32.61,86.12
321,32.71,88.2
322,32.81,92.46
323,32.91,81.43
324,33.01,104.98
325,33.11,80.47
326,33.21,79.07
327,33.31,98.33
328,33.41,95.67
329,33.5,94.6
330,33.6,94.91
331,33.7,90.06
332,33.8,83.26
333,33.9,91.32
334,34.0,85.57
335,34.1,99.07
336,34.2,90.37
337,34.3,85.22
338,34.4,89.54
339,34.5,95.69
340,34.59,88.16
341,34.69,86.37
342,34.79,95.18
343,34.89,95.48
344,34.99,89.74
345,35.09,90.32
346,35.19,96.23
347,35.29,83.07
348,35.39,83.68
349,35.49,89.48
350,35.59,93.81
351,35.68,98.29
352,35.78,107.9
353,35.88,103.25
354,35.98,95.4
355,36.08,96.81
356,36.18,89.24
357,36.28,97.4
358,36.38,95.54
359,36.48,100.72
360,36.58,91.82
361,36.68,102.89
362,36.77,111.29
363,36.87,98.46
364,36.97,102.84
365,37.07,105.45
366,37.17,97.02
367,37.27,102.32
368,37.37,100.93
369,37.47,101.92
370,37.57,95.25
371,37.67,101.94
372,37.77,106.03
373,37.86,113.96
374,37.96,110.34
375,38.06,120.2
376,38.16,97.14
377,38.26,110.57
378,38.36,105.37
379,38.46,121.73
380,38.56,98.06
381,38.66,98.12
382,38.76,100.36
383,38.86,88.48
384,38.95,101.58
385,39.05,100.04
386,39.15,107.63
387,39.25,109.48
388,39.35,122.08
389,39.45,115.0
390,39.55,103.1
391,39.65,100.85
392,39.75,112.3
393,39.85,98.13
394,39.95,123.67
395,40.05,118.79
396,40.14,105.93
397,40.24,96.31
398,40.34,121.17
399,40.44,109.76
400,40.54,120.91
401,40.64,98.59
402,40.74,106.89
403,40.84,112.06
404,40.94,112.74
405,41.04,109.1
406,41.14,118.03
407,41.23,104.85
408,41.33,112.59
409,41.43,115.04
410,41.53,118.54
411,41.63,120.47
412,41.73,106.13
413,41.83,103.2
414,41.93,126.05
415,42.03,118.84
416,42.13,110.55
417,42.23,129.3
418,42.32,118.17
419,42.42,127.04
420,42.52,118.51
421,42.62,134.81
422,42.72,132.73
423,42.82,117.06
424,42.92,127.19
425,43.02,124.95
426,43.12,131.11
427,43.22,112.81
428,43.32,126.39
429,43.41,129.74
430,43.51,107.58
431,43.61,112.56
432,43.71,106.09
433,43.81,120.62
434,43.91,128.9
435,44.01,135.56
436,44.11,124.52
437,44.21,137.34
438,44.31,113.66
439,44.41,111.46
440,44.5,125.03
441,44.6,128.94
442,44.7,126.0
443,44.8,110.12
444,44.9,126.34
445,45.0,117.01
446,45.1,133.21
447,45.2,131.18
448,45.3,121.14
449,45.4,124.95
450,45.5,120.99
451,45.59,129.37
452,45.69,137.93
453,45.79,122.81
454,45.89,135.14
455,45.99,127.29
456,46.09,125.6
457,46.19,131.51
458,46.29,124.5
459,46.39,128.78
460,46.49,124.05
461,46.59,149.78
462,46.68,134.77
463,46.78,129.32
464,46.88,137.06
465,46.98,134.89
466,47.08,134.45
467,47.18,141.57
468,47.28,143.16
469,47.38,133.3
470,47.48,133.38
471,47.58,136.23
472,47.68,120.46
473,47.77,127.21
474,47.87,150.72
475,47.97,153.4
476,48.07,138.7
477,48.17,145.76
478,48.27,144.1
479,48.37,166.7
480,48.47,151.49
481,48.57,141.98
482,48.67,135.83
483,48.77,131.09
484,48.86,146.05
485,48.96,138.84
486,49.06,133.99
487,49.16,140.68
488,49.26,137.68
489,49.36,160.32
490,49.46,154.36
491,49.56,147.73
492,49.66,160.12
493,49.76,149.4
494,49.86,142.38
495,49.95,161.96
496,50.05,154.58
497,50.15,142.48
498,50.25,149.76
499,50.35,144.78
500,50.45,141.24
501,50.55,160.22
502,50.65,168.6
503,50.75,142.66
504,50.85,158.87
505,50.95,149.68
506,51.05,151.51
507,51.14,151.2
508,51.24,149.56
509,51.34,157.39
510,51.44,150.89
511,51.54,160.24
512,51.64,158.21
513,51.74,157.25
514,51.84,152.44
515,51.94,155.64
516,52.04,166.84
517,52.14,165.36
518,52.23,154.09
519,52.33,163.26
520,52.43,169.04
521,52.53,150.24
522,52.63,168.51
523,52.73,159.43
524,52.83,169.87
525,52.93,159.77
526,53.03,152.02
527,53.13,154.02
528,53.23,168.01
529,53.32,170.29
530,53.42,161.56
531,53.52,174.5
532,53.62,156.69
533,53.72,170.05
534,53.82,161.5
535,53.92,166.57
536,54.02,172.77
537,54.12,166.12
538,54.22,170.54
539,54.32,182.29
540,54.41,170.24
541,54.51,182.16
542,54.61,167.06
543,54.71,180.97
544,54.81,188.89
545,54.91,158.22
546,55.01,172.26
547,55.11,183.89
548,55.21,178.29
549,55.31,183.53
550,55.41,176.38
551,55.5,182.56
552,55.6,181.28
553,55.7,192.53
554,55.8,185.88
555,55.9,187.22
556,56.0,181.89
557,56.1,181.96
558,56.2,183.08
559,56.3,190.37
560,56.4,184.53
561,56.5,190.9
562,56.59,205.88
563,56.69,196.94
564,56.79,188.06
565,56.89,200.98
566,56.99,188.81
567,57.09,176.47
568,57.19,185.43
569,57.29,179.24
570,57.39,192.11
571,57.49,195.79
572,57.59,209.78
573,57.68,199.71
574,57.78,196.08
575,57.88,205.2
576,57.98,181.62
577,58.08,201.94
578,58.18,206.96
579,58.28,189.72
580,58.38,211.45
581,58.48,205.77
582,58.58,200.5
583,58.68,209.65
584,58.77,223.53
585,58.87,207.59
586,58.97,208.9
587,59.07,204.02
588,59.17,201.68
589,59.27,215.91
590,59.37,203.21
591,59.47,211.43
592,59.57,207.84
593,59.67,216.29
594,59.77,215.94
595,59.86,222.39
596,59.96,210.82
597,60.06,213.56
598,60.16,208.72
599,60.26,213.82
600,60.36,221.23
601,60.46,225.1
602,60.56,212.51
603,60.66,227.69
604,60.76,232.43
605,60.86,225.75
606,60.95,238.31
607,61.05,217.97
608,61.15,215.07
609,61.25,211.67
610,61.35,238.74
611,61.45,232.89
612,61.55,228.1
613,61.65,231.67
614,61.75,221.32
615,61.85,250.78
616,61.95,233.15
617,62.05,233.9
618,62.14,239.74
619,62.24,238.7
620,62.34,237.56
621,62.44,230.37
622,62.54,241.4
623,62.64,253.62
624,62.74,250.26
625,62.84,253.19
626,62.94,237.3
627,63.04,234.42
628,63.14,242.29
629,63.23,244.7
630,63.33,253.98
631,63.43,232.66
632,63.53,259.41
633,63.63,246.89
634,63.73,245.72
635,63.83,242.03
636,63.93,237.88
637,64.03,258.71
638,64.13,253.71
639,64.23,243.82
640,64.32,244.79
641,64.42,253.48
642,64.52,270.55
643,64.62,256.15
644,64.72,247.23
645,64.82,258.33
646,64.92,259.16
647,65.02,240.82
648,65.12,263.01
649,65.22,262.66
650,65.32,271.14
651,65.41,281.43
652,65.51,276.73
653,65.61,266.65
654,65.71,261.03
655,65.81,291.56
656,65.91,272.54
657,66.01,273.28
658,66.11,274.08
659,66.21,276.97
660,66.31,275.35
661,66.41,273.04
662,66.5,274.38
663,66.6,279.63
664,66.7,276.68
665,66.8,276.47
666,66.9,284.18
667,67.0,282.44
668,67.1,297.68
669,67.2,265.6
670,67.3,296.72
671,67.4,299.13
672,67.5,273.76
673,67.59,288.79
674,67.69,289.76
675,67.79,282.67
676,67.89,288.91
677,67.99,287.46
678,68.09,311.59
679,68.19,306.28
680,68.29,310.19
681,68.39,307.03
682,68.49,293.46
683,68.59,299.55
684,68.68,308.91
685,68.78,296.48
686,68.88,313.23
687,68.98,306.87
688,69.08,307.07
689,69.18,317.04
690,69.28,316.2
691,69.38,311.05
692,69.48,324.51
693,69.58,307.9
694,69.68,322.79
695,69.77,323.92
696,69.87,318.03
697,69.97,324.44
698,70.07,313.16
699,70.17,331.91
700,70.27,324.39
701,70.37,323.04
702,70.47,336.98
703,70.57,324.32
704,70.67,320.07
705,70.77,320.27
706,70.86,338.96
707,70.96,325.26
708,71.06,350.94
709,71.16,321.66
710,71.26,353.3
711,71.36,342.84
712,71.46,341.8
713,71.56,339.65
714,71.66,348.65
715,71.76,346.6
716,71.86,357.18
717,71.95,350.73
718,72.05,352.49
719,72.15,349.85
720,72.25,353.79
721,72.35,358.19
722,72.45,343.55
723,72.55,347.94
724,72.65,366.18
725,72.75,363.12
726,72.85,361.81
727,72.95,364.95
728,73.05,369.12
729,73.14,363.57
730,73.24,363.21
731,73.34,372.56
732,73.44,364.73
733,73.54,377.4
734,73.64,362.09
735,73.74,385.53
736,73.84,382.67
737,73.94,382.54
738,74.04,389.96
739,74.14,397.04
740,74.23,393.45
741,74.33,372.24
742,74.43,378.37
743,74.53,385.25
744,74.63,392.11
745,74.73,397.7
746,74.83,389.42
747,74.93,398.4
748,75.03,392.54
749,75.13,395.38
750,75.23,390.72
751,75.32,396.29
752,75.42,394.57
753,75.52,399.3
754,75.62,417.26
755,75.72,402.97
756,75.82,433.37
757,75.92,418.01
758,76.02,417.3
759,76.12,410.72
760,76.22,424.96
761,76.32,416.54
762,76.41,423.91
763,76.51,445.21
764,76.61,425.76
765,76.71,437.54
766,76.81,424.54
767,76.91,431.72
768,77.01,448.0
769,77.11,430.66
770,77.21,452.03
771,77.31,445.06
772,77.41,436.76
773,77.5,448.2
774,77.6,452.81
775,77.7,451.9
776,77.8,436.26
777,77.9,444.92
778,78.0,450.67
779,78.1,453.98
780,78.2,461.48
781,78.3,459.88
782,78.4,449.73
783,78.5,465.42
784,78.59,469.23
785,78.69,470.8
786,78.79,476.95
787,78.89,476.97
788,78.99,475.98
789,79.09,473.76
790,79.19,463.05
791,79.29,481.8
792,79.39,482.07
793,79.49,484.63
794,79.59,474.29
795,79.68,477.92
796,79.78,497.07
797,79.88,490.41
798,79.98,498.27
799,80.08,495.15
800,80.18,497.27
801,80.28,506.65
802,80.38,497.14
803,80.48,504.18
804,80.58,501.85
805,80.68,504.23
806,80.77,507.4
807,80.87,513.82
808,80.97,510.39
809,81.07,526.46
810,81.17,511.45
811,81.27,519.32
812,81.37,519.52
813,81.47,536.84
814,81.57,529.07
815,81.67,538.0
816,81.77,520.12
817,81.86,536.4
818,81.96,543.66
819,82.06,539.48
820,82.16,549.64
821,82.26,539.28
822,82.36,557.01
823,82.46,566.45
824,82.56,547.48
825,82.66,549.16
826,82.76,566.71
827,82.86,570.08
828,82.95,555.63
829,83.05,558.83
830,83.15,562.33
831,83.25,556.22
832,83.35,562.04
833,83.45,563.78
834,83.55,568.1
835,83.65,576.4
836,83.75,581.0
837,83.85,593.99
838,83.95,576.07
839,84.05,594.41
840,84.14,587.31
841,84.24,591.13
842,84.34,599.43
843,84.44,587.57
844,84.54,602.14
845,84.64,602.96
846,84.74,608.12
847,84.84,609.05
848,84.94,628.95
849,85.04,606.79
850,85.14,610.23
851,85.23,612.1
852,85.33,615.25
853,85.43,617.22
854,85.53,634.47
855,85.63,638.96
856,85.73,625.69
857,85.83,626.26
858,85.93,639.37
859,86.03,633.87
860,86.13,646.05
861,86.23,645.32
862,86.32,634.29
863,86.42,661.52
864,86.52,666.25
865,86.62,649.73
866,86.72,654.3
867,86.82,662.46
868,86.92,665.63
869,87.02,671.02
870,87.12,684.64
871,87.22,669.96
872,87.32,667.82
873,87.41,666.02
874,87.51,674.05
875,87.61,682.5
876,87.71,699.99
877,87.81,684.38
878,87.91,693.21
879,88.01,694.2
880,88.11,706.75
881,88.21,720.39
882,88.31,698.87
883,88.41,702.16
884,88.5,717.39
885,88.6,717.47
886,88.7,729.78
887,88.8,722.67
888,88.9,718.14
889,89.0,728.76
890,89.1,735.94
891,89.2,736.68
892,89.3,737.23
893,89.4,744.78
894,89.5,748.68
895,89.59,753.48
896,89.69,750.72
897,89.79,747.31
898,89.89,752.95
899,89.99,764.57
900,90.09,751.53
901,90.19,764.18
902,90.29,761.26
903,90.39,767.83
904,90.49,781.03
905,90.59,775.54
906,90.68,777.61
907,90.78,769.6
908,90.88,789.7
909,90.98,792.16
910,91.08,807.57
911,91.18,791.09
912,91.28,798.61
913,91.38,802.16
914,91.48,816.11
915,91.58,806.07
916,91.68,812.41
917,91.77,818.41
918,91.87,818.41
919,91.97,816.74
920,92.07,825.26
921,92.17,835.71
922,92.27,822.34
923,92.37,835.05
924,92.47,831.84
925,92.57,850.46
926,92.67,832.2
927,92.77,843.4
928,92.86,854.39
929,92.96,867.42
930,93.06,857.9
931,93.16,857.52
932,93.26,880.57
933,93.36,857.5
934,93.46,855.08
935,93.56,879.79
936,93.66,875.86
937,93.76,875.33
938,93.86,892.8
939,93.95,892.73
940,94.05,889.93
941,94.15,887.87
942,94.25,908.78
943,94.35,910.71
944,94.45,908.43
945,94.55,927.73
946,94.65,908.13
947,94.75,908.25
948,94.85,918.69
949,94.95,927.64
950,95.05,933.75
951,95.14,933.68
952,95.24,942.26
953,95.34,933.27
954,95.44,958.68
955,95.54,950.34
956,95.64,963.82
957,95.74,961.52
958,95.84,966.34
959,95.94,971.16
960,96.04,974.12
961,96.14,979.64
962,96.23,989.09
963,96.33,984.01
964,96.43,992.1
965,96.53,989.72
966,96.63,1005.98
967,96.73,993.09
968,96.83,1016.96
969,96.93,1006.29
970,97.03,999.25
971,97.13,1015.81
972,97.23,1013.45
973,97.32,1029.75
974,97.42,1021.94
975,97.52,1027.74
976,97.62,1020.36
977,97.72,1036.04
978,97.82,1024.47
979,97.92,1035.4
980,98.02,1058.38
981,98.12,1062.83
982,98.22,1064.2
983,98.32,1057.33
984,98.41,1068.97
985,98.51,1073.63
986,98.61,1068.7
987,98.71,1094.33
988,98.81,1093.67
989,98.91,1089.24
990,99.01,1095.6
991,99.11,1101.45
992,99.21,1087.85
993,99.31,1106.63
994,99.41,1107.59
995,99.5,1109.49
996,99.6,1119.72
997,99.7,1140.84
998,99.8,1136.08
999,99.9,1130.9
1000,100.0,1144.58
